"","name","Date","Status","Aperture priority","Battery","Body type","Built-in flash","Flash range","Digital zoom","Storage included","Effective pixels","Environmentally sealed","External flash","HDMI","Image stabilization","Live view","Aperture Min","Aperture Max","Aperture Range","Optical zoom","Orientation sensor","Screen dots","Screen size","Sensor photo detectors","Uncompressed format","Weight (inc. batteries)","USB","Continuous drive","Custom white balance","Focal length multiplier","Manual exposure mode","Subject / scene modes","GPS","Microphone","Viewfinder coverage","Number of focus points","Viewfinder magnification","Viewfinder resolution","Speaker","Boosted ISO (maximum)","Boosted ISO (minimum)","Battery Life (CIPA)","Wireless","Headphone port","Microphone port","width","height","length","volume","1:1","16:9","3:2","4:3","5:4","Total Resolution"
"1","Sony Alpha a6300","709","Active","Yes","Battery Pack","Rangefinder-style mirrorless","Yes","6","Yes",NA,NA,"Yes","Yes","Yes","No","Yes",NA,NA,NA,NA,"Yes",921600,3,25,"RAW","404","USB 2.0 (480 Mbit/sec)",11,"Yes",1.5,"Yes","Yes","None","Stereo",100,2,0.7,2359296,"Mono","51200",NA,1,"Built-In","No","Yes",120,67,49,393960,"No","Yes","Yes","No","No",19182
"2","Sony Alpha SLT-A68","825","Active","Yes","Battery Pack","Mid-size SLR","Yes","12","Yes",NA,NA,"No","Yes","Yes","Sensor-shift","Yes",NA,NA,NA,NA,"Yes",460800,2.7,25,"RAW","610","USB 2.0 (480 Mbit/sec)",8,"Yes",1.5,"Yes","Yes","None","Stereo",100,3,0.88,1440000,"Mono",NA,NA,NA,NA,"No","Yes",143,104,81,1204632,"No","Yes","Yes","No","No",19182
"3","Sony Cyber-shot DSC-RX1R II","830","Active","Yes","Battery Pack","Large sensor compact","No",NA,"Yes",NA,NA,"No","Yes","Yes","No","Yes","2","2","0",1,"Yes",1228800,3,44,"RAW","507","USB 2.0 (480 Mbit/sec)",5,"Yes",1,"Yes","Yes","None","Stereo",100,5,0.74,2359296,"Mono","102400","50",2,"Built-In","No","Yes",113,65,72,528840,"Yes","Yes","Yes","Yes","No",21608
"4","Sony Alpha 7S II","845","Active","Yes","Battery Pack","SLR-style mirrorless","No",NA,"Yes",NA,NA,"Yes","Yes","Yes","Sensor-shift","Yes",NA,NA,NA,NA,"Yes",1228800,3,12,"RAW","627","USB 2.0 (480 Mbit/sec)",5,"Yes",1,"Yes","Yes","None","Stereo",100,6,0.78,2359296,"Mono","409600","50",3,"Built-In","Yes","Yes",127,96,60,731520,"No","Yes","Yes","No","No",9300
"5","Sony Alpha 7R II","768","Active","Yes","Battery Pack","SLR-style mirrorless","No",NA,"Yes",NA,NA,"Yes","Yes","Yes","Sensor-shift","Yes",NA,NA,NA,NA,"Yes",1228800,3,44,"RAW","625","USB 2.0 (480 Mbit/sec)",5,"Yes",NA,"Yes","Yes","None","Stereo",100,5,0.78,2359296,"Mono","102400","50",4,"Built-In","Yes","Yes",127,96,60,731520,"No","Yes","Yes","No","No",21608
"6","Sony Cyber-shot DSC-RX100 IV","768","Active","Yes","Battery Pack","Compact","Yes","10.2","Yes",NA,NA,"No","No","Yes","Optical","Yes","1.8","2.8","1",2.9,"Yes",1228800,3,21,"RAW","298","USB 2.0 (480 Mbit/sec)",16,"Yes",NA,"Yes","Yes","None","Stereo",100,7,0.59,2359296,"Mono","25600","80",5,"Built-In","No","No",102,58,41,242556,"Yes","Yes","Yes","Yes","No",17028
"7","Sony Cyber-shot DSC-RX10 II","768","Active","Yes","Battery Pack","SLR-like (bridge)","Yes","10.2","Yes",NA,NA,"Yes","Yes","Yes","Optical","Yes","2.8","2.8","0",8.3,"Yes",1228800,3,21,"RAW","813","USB 2.0 (480 Mbit/sec)",14,"Yes",NA,"Yes","Yes","None","Stereo",100,7,0.7,2359296,"Mono","25600","64",1,"Built-In","Yes","Yes",129,88,102,1157904,"Yes","Yes","Yes","Yes","No",17028
"8","Sony Cyber-shot DSC-HX90V","651","Active","Yes","Battery Pack","Compact","Yes","5.4","Yes",NA,NA,"No","No","Yes","Optical","Yes","3.5","6.4","2.9",30,"Yes",921000,3,21,"No","245","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","BuiltIn","Stereo",100,NA,0.5,638400,"Mono",NA,NA,6,"Built-In","No","No",102,58,36,212976,"Yes","Yes","Yes","Yes","No",15470
"9","Sony Cyber-shot DSC-WX500","651","Active","Yes","Battery Pack","Compact","Yes","5.4","Yes",NA,NA,"No","No","Yes","Optical","Yes","3.5","6.4","2.9",30,"Yes",921000,3,21,"No","236","USB 2.0 (480 Mbit/sec)",10,"Yes",NA,"Yes","Yes","None","Stereo",NA,NA,NA,NA,"Mono",NA,NA,6,"Built-In","No","No",102,58,36,212976,"Yes","Yes","Yes","Yes","No",15470
"10","Sony Alpha 7 II","822","Active","Yes","Battery Pack","SLR-style mirrorless","No",NA,"Yes",NA,NA,"Yes","Yes","Yes","Sensor-shift","Yes",NA,NA,NA,NA,"Yes",1230000,3,25,"RAW","599","USB 2.0 (480 Mbit/sec)",5,"Yes",1,"Yes","Yes","None","Stereo",100,8,0.71,2359000,"Mono",NA,"50",7,"Built-In","Yes","Yes",127,96,60,731520,"No","Yes","Yes","No","No",19182
